train_loss,train_acc,val_loss,val_acc
0.5520230804681778,0.7474937343358395,0.4364595645747613,0.8406813627254509
0.5756909322738647,0.7135338345864661,0.441292688716203,0.8517034068136272
0.5611241326332093,0.7095238095238096,0.44913554610684514,0.8336673346693386
0.5429478229284287,0.7152882205513784,0.5156485291663557,0.812625250501002
0.5060301388502121,0.7367167919799499,0.47088965226430446,0.8326653306613226
0.4901928943395615,0.7364661654135338,0.49915956566110253,0.8236472945891784
0.48487015008926393,0.73796992481203,0.552653098013252,0.8036072144288577
0.4614232960939407,0.743483709273183,0.5191284965258092,0.8196392785571143
0.4599759612083435,0.7462406015037594,0.6104060413781554,0.7855711422845691
0.4501473060846329,0.7471177944862155,0.5876227463595569,0.7915831663326653
0.4423723489046097,0.7553884711779448,0.6021872167475522,0.7985971943887775
